user_id	words_count
180577856	5395
57010241	3564
96875393	374
89030199	0
1494733	1613
4871315	23
54363822	271
68892630	526
12306049	2846
11330009	906
37128986	12
178835227	1477
23540705	1351
6217442	459
4479771	197
15717865	246
42808107	1601
12623342	1315
310307054	1013
20473269	613
8177449	297
26476793	4393
7644986	5293
19264830	1171
5200895	1421
